Player,Team,Pos,Injury,Status,Est. Return
Devante Bond,DAL,LB,Knee,IR,Subscribers Only
Andrew Booth,MIN,CB,Quadriceps,Questionable,Subscribers Only
Joey Bosa,LAC,LB,Groin,IR,Subscribers Only
Nick Bosa,SF,DE,Groin,Questionable,Subscribers Only
Tyus Bowser,BAL,LB,Achilles,PUP-R,Subscribers Only
Ben Braden,FA,OG,Undisclosed,Questionable,Subscribers Only
Cameron Brate,TB,TE,Concussion,Questionable,Subscribers Only
Brady Breeze,FA,S,Undisclosed,Questionable,Subscribers Only
Shemar Bridges,FA,WR,Undisclosed,Questionable,Subscribers Only
Teddy Bridgewater,MIA,QB,Head,Questionable,Subscribers Only
Beau Brinkley,ATL,C,Undisclosed,IR,Subscribers Only
Justin Britt,HOU,C,Personal,NFI-R,Subscribers Only
Gabe Brkic,FA,K,Hamstring,Questionable,Subscribers Only
Antonio Brown,FA,WR,Ankle,Questionable,Subscribers Only
Ben Brown,CIN,C,Biceps,IR,Subscribers Only
Bobby Brown,LAR,DT,Suspension,Reserve-Sus,Subscribers Only
Daniel Brown,FA,TE,Hip,Questionable,Subscribers Only
Dyami Brown,WAS,WR,Groin,Questionable,Subscribers Only
Jayon Brown,LV,LB,Hamstring,Questionable,Subscribers Only
Kyron Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Mike Brown,FA,OG,Undisclosed,Questionable,Subscribers Only
Shakur Brown,FA,CB,Undisclosed,Questionable,Subscribers Only
Spencer Brown,FA,RB,Ankle,Questionable,Subscribers Only
Tre Brown,SEA,CB,Knee,PUP-R,Subscribers Only
Baron Browning,DEN,LB,Wrist,Questionable,Subscribers Only
Logan Bruss,LAR,OG,Knee - ACL + MCL,IR,Subscribers Only
Hunter Bryant,FA,TE,Undisclosed,Questionable,Subscribers Only
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
Ian Bunting,DAL,TE,Neck,IR,Subscribers Only
Treylon Burks,TEN,WR,Toe,IR,Subscribers Only
Ben Burr-Kirven,SEA,LB,Knee - ACL,PUP-R,Subscribers Only
Matt Bushman,FA,TE,Collarbone,Questionable,Subscribers Only
Harrison Butker,KC,K,Ankle,Questionable,Subscribers Only
Adam Butler,FA,DE,Undisclosed,Questionable,Subscribers Only
Malcolm Butler,FA,CB,Undisclosed,Questionable,Subscribers Only
Percy Butler,WAS,S,Quadriceps,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Jason Cabinda,DET,FB,Ankle,PUP-R,Subscribers Only
Yodny Cajuste,NE,OT,Thumb,IR,Subscribers Only
Antonio Callaway,FA,WR,Knee,Questionable,Subscribers Only
Chance Campbell,TEN,LB,Knee,IR,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Trenton Cannon,TEN,RB,Knee,IR,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Cethan Carter,MIA,TE,Concussion,IR,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Blake Cashman,HOU,LB,Concussion,Questionable,Subscribers Only
Quintez Cephus,DET,WR,Foot,IR,Subscribers Only
K'Lavon Chaisson,JAX,LB,Knee - Meniscus,IR,Subscribers Only
Ty Chandler,MIN,RB,Thumb,IR,Subscribers Only
DJ Chark,DET,WR,Ankle,Questionable,Subscribers Only
Jeremy Chinn,CAR,S,Hamstring,IR,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Jack Cichy,FA,LB,Arm,Questionable,Subscribers Only
Lewis Cine,MIN,S,Leg,IR,Subscribers Only
Damone Clark,DAL,LB,Back,NFI-R,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Frank Clark,KC,DE,Illness,Questionable,Subscribers Only
Ben Cleveland,BAL,OG,Foot,Questionable,Subscribers Only
Kameron Cline,FA,DT,Concussion,Questionable,Subscribers Only
Tarik Cohen,FA,RB,Achilles,Out,Subscribers Only
Justin Coleman,SEA,CB,Calf,Questionable,Subscribers Only
L.J. Collier,SEA,DE,Elbow,IR-R,Subscribers Only
Alex Collins,FA,RB,Abdomen,Questionable,Subscribers Only
John Cominsky,DET,DT,Wrist,Questionable,Subscribers Only
Tom Compton,DEN,OT,Back,PUP-R,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
James Conner,ARI,RB,Ribs,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Jonathon Cooper,DEN,LB,Hamstring,Questionable,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Jashon Cornell,FA,DT,Undisclosed,Questionable,Subscribers Only
Matt Corral,CAR,QB,Foot,IR,Subscribers Only
Samuel Cosmi,WAS,OT,Finger,Questionable,Subscribers Only
Nathan Cottrell,FA,RB,Undisclosed,Questionable,Subscribers Only
Rashaad Coward,FA,OG,Undisclosed,Questionable,Subscribers Only
Aaron Crawford,FA,DT,Groin,Questionable,Subscribers Only
Damarea Crockett,DEN,RB,Knee - ACL,IR,Subscribers Only
Tyrell Crosby,FA,OT,Back,Questionable,Subscribers Only
Jamison Crowder,BUF,WR,Ankle,IR,Subscribers Only
Isaiah Crowell,FA,RB,Achilles,Questionable,Subscribers Only
Korey Cunningham,FA,OT,Undisclosed,Questionable,Subscribers Only
Zach Cunningham,TEN,LB,Elbow,Questionable,Subscribers Only
Vinny Curry,NYJ,DE,Hamstring,IR-R,Subscribers Only
Tae Daley,ARI,S,Undisclosed,IR,Subscribers Only
Jalen Dalton,FA,DT,Leg,Questionable,Subscribers Only
Mike Danna,KC,DE,Calf,Questionable,Subscribers Only
Ronald Darby,DEN,CB,Knee,IR,Subscribers Only
Sam Darnold,CAR,QB,Ankle,IR,Subscribers Only
D.J. Davidson,NYG,DT,Knee - ACL,IR,Subscribers Only
Marlon Davidson,ATL,DT,Knee,IR,Subscribers Only
Carlton Davis,TB,CB,Hip,Questionable,Subscribers Only
Danny Davis,FA,WR,Ankle,Questionable,Subscribers Only
Kalia Davis,SF,DT,Undisclosed,NFI-R,Subscribers Only
Nate Davis,TEN,OG,Knee,Questionable,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Tyrion Davis-Price,SF,RB,Ankle,Questionable,Subscribers Only
Sheldon Day,FA,DT,Back,Questionable,Subscribers Only
Dawson Deaton,CLE,C,Knee - ACL,IR,Subscribers Only
Austin Deculus,HOU,OT,Ankle,Questionable,Subscribers Only
Trevor Denbow,IND,S,Undisclosed,IR,Subscribers Only
Landon Dickerson,PHI,OG,Leg,Questionable,Subscribers Only
Andre Dillard,PHI,OT,Forearm,IR-R,Subscribers Only
Jahan Dotson,WAS,WR,Hamstring,Questionable,Subscribers Only
Sage Doxtater,FA,OT,Undisclosed,Questionable,Subscribers Only
Tommy Doyle,BUF,OT,Knee - ACL,IR,Subscribers Only
Dakota Dozier,CHI,OG,Knee - ACL,IR,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Greg Dulcich,DEN,TE,Hamstring,IR-R,Subscribers Only
Ashton Dulin,IND,WR,Foot,IR,Subscribers Only
Bud Dupree,TEN,LB,Hip,Questionable,Subscribers Only
Cobie Durant,LAR,CB,Hamstring,Questionable,Subscribers Only
Jerrion Ealy,FA,RB,Suspension,Out,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Terrell Edmunds,PIT,S,Concussion,Questionable,Subscribers Only
Tremaine Edmunds,BUF,LB,Hamstring,Questionable,Subscribers Only
David Edwards,LAR,OG,Concussion,IR,Subscribers Only
Gus Edwards,BAL,RB,Knee - ACL,PUP-R,Subscribers Only
Milo Eifler,WAS,LB,Hamstring,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Ben Ellefson,MIN,TE,Groin,IR,Subscribers Only
Jake Elliott,PHI,K,Ankle,Questionable,Subscribers Only
Alex Ellis,FA,TE,Undisclosed,Questionable,Subscribers Only
Noah Elliss,FA,DT,Undisclosed,Questionable,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Drew Estrada,FA,WR,Leg,Questionable,Subscribers Only
Dorian Etheridge,FA,LB,Knee,Questionable,Subscribers Only
Akayleb Evans,MIN,CB,Head,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
George Fant,NYJ,OT,Knee,IR,Subscribers Only
Foley Fatukasi,JAX,DT,Quadriceps,Questionable,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
B.J. Finney,FA,OG,Back,Questionable,Subscribers Only
John FitzPatrick,ATL,TE,Undisclosed,IR,Subscribers Only
Minkah Fitzpatrick,PIT,S,Knee,Questionable,Subscribers Only
Cor'Dale Flott,NYG,CB,Calf,Questionable,Subscribers Only
Cody Ford,ARI,OG,Ankle,IR,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Jerome Ford,CLE,RB,Ankle,IR,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Robert Foster,FA,WR,Hamstring,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Pat Freiermuth,PIT,TE,Concussion,Questionable,Subscribers Only
Ty Fryfogle,FA,WR,Undisclosed,Questionable,Subscribers Only
Jordan Fuller,LAR,S,Hamstring,IR,Subscribers Only
Kyle Fuller,BAL,CB,Knee - ACL,IR,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
Lamont Gaillard,FA,C,Calf,Questionable,Subscribers Only
Max Garcia,ARI,C,Toe,Questionable,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Nick Gates,NYG,C,Lower Leg,PUP-R,Subscribers Only
Willie Gay,KC,LB,Suspension,Reserve-Sus,Subscribers Only
Zach Gentry,PIT,TE,Knee,Questionable,Subscribers Only
Nate Gerry,FA,LB,Undisclosed,Questionable,Subscribers Only
Cam Gill,TB,LB,Foot,IR,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Kenny Golladay,NYG,WR,Knee - MCL,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Zane Gonzalez,CAR,K,Groin,IR,Subscribers Only
Marquise Goodwin,SEA,WR,Knee,Questionable,Subscribers Only
Derrick Gore,FA,RB,Thumb,Questionable,Subscribers Only
Robbie Gould,SF,K,Knee,Questionable,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Isaiah Graham-Mobley,FA,LB,Undisclosed,Questionable,Subscribers Only
Jakeem Grant,CLE,WR,Achilles,IR,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Ankle,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,NO,OT,Knee,IR,Subscribers Only
Randy Gregory,DEN,LB,Knee - Meniscus,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Vitaliy Gurman,FA,OG,Undisclosed,Out,Subscribers Only
Lawrence Guy,NE,DE,Shoulder,Questionable,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Terez Hall,FA,LB,Undisclosed,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Knee,Questionable,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Da'Shawn Hand,TEN,DT,Quadriceps,IR,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Daniel Hardy,LAR,LB,Ankle,IR,Subscribers Only
Charles Harris,DET,DE,Groin,Questionable,Subscribers Only
Christian Harris,HOU,LB,Hamstring,IR-R,Subscribers Only
Clark Harris,CIN,C,Biceps,IR,Subscribers Only
Damien Harris,NE,RB,Hamstring,Doubtful,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Nick Harris,CLE,C,Knee,IR,Subscribers Only
Trent Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Will Harris,DET,CB,Groin,Questionable,Subscribers Only
N'Keal Harry,CHI,WR,Ankle,Questionable,Subscribers Only
Penny Hart,SEA,WR,Hamstring,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Deonte Harty,NO,WR,Toe,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,BAL,LB,Undisclosed,IR,Subscribers Only
Marquis Hayes,ARI,OG,Knee,IR,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Thomas Hennigan,MIN,WR,Undisclosed,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Justin Herron,LV,OT,Knee,IR,Subscribers Only
Akiem Hicks,TB,DT,Foot,Questionable,Subscribers Only
Tee Higgins,CIN,WR,Ankle,Questionable,Subscribers Only
Justice Hill,BAL,RB,Hamstring,Questionable,Subscribers Only
Kylin Hill,GB,RB,Knee - ACL,PUP-R,Subscribers Only
Troy Hill,LAR,CB,Groin,IR,Subscribers Only
Tyreek Hill,MIA,WR,Foot,Questionable,Subscribers Only
Nyheim Hines,IND,RB,Concussion,Questionable,Subscribers Only
Jared Hocker,FA,OG,Undisclosed,Questionable,Subscribers Only
Darius Hodge,FA,LB,Undisclosed,Questionable,Subscribers Only
Curtis Hodges,WAS,TE,Thigh,IR,Subscribers Only
Christian Holmes,WAS,CB,Hamstring,Questionable,Subscribers Only
Elijah Holyfield,CIN,RB,Knee,IR,Subscribers Only
Travis Homer,SEA,RB,Ribs,IR,Subscribers Only
Amani Hooker,TEN,S,Concussion,Questionable,Subscribers Only
DeAndre Hopkins,ARI,WR,Suspension,Reserve-Sus,Subscribers Only
Dustin Hopkins,LAC,K,Quadriceps,Questionable,Subscribers Only
Jaycee Horn,CAR,CB,Hip,Questionable,Subscribers Only
Justin Houston,BAL,LB,Groin,Questionable,Subscribers Only
Bug Howard,FA,TE,Undisclosed,Questionable,Subscribers Only
Travin Howard,LAR,LB,Groin,NFI-R,Subscribers Only
Xavien Howard,MIA,CB,Groin,Questionable,Subscribers Only
Brian Hoyer,NE,QB,Concussion,IR,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,ARI,C,Knee,Questionable,Subscribers Only
Tommy Hudson,FA,TE,Undisclosed,Questionable,Subscribers Only
Albert Huggins,NO,DT,Undisclosed,IR,Subscribers Only
Jalen Hurd,FA,WR,Knee,Questionable,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Maurice Hurst,SF,DT,Biceps,IR,Subscribers Only
Carlos Hyde,FA,RB,Concussion,Questionable,Subscribers Only
Micah Hyde,BUF,S,Neck,IR,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Daniel Isom,FA,S,Undisclosed,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Adoree' Jackson,NYG,CB,Knee,Questionable,Subscribers Only
Austin Jackson,MIA,OT,Ankle,IR,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Chris Jackson,TEN,CB,Undisclosed,IR,Subscribers Only
D'Marco Jackson,NO,LB,Undisclosed,IR,Subscribers Only
Gabe Jackson,SEA,OG,Hip,Questionable,Subscribers Only
Tyree Jackson,PHI,TE,Knee - ACL,PUP-R,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
William Jackson,WAS,CB,Back,Questionable,Subscribers Only
Jerry Jacobs,DET,CB,Knee - ACL,PUP-R,Subscribers Only
Craig James,FA,CB,Undisclosed,Questionable,Subscribers Only
Ja'Wuan James,BAL,OT,Achilles,IR,Subscribers Only
Jesse James,CLE,TE,Biceps,IR,Subscribers Only
Kevin Jarvis,FA,OG,Undisclosed,Questionable,Subscribers Only
Blake Jarwin,FA,TE,Hip,Questionable,Subscribers Only
Van Jefferson,LAR,WR,Knee,IR,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,LV,DE,Knee - ACL,IR,Subscribers Only
Gary Jennings,FA,WR,Concussion,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Josey Jewell,DEN,LB,Knee,Questionable,Subscribers Only
Bisi Johnson,MIN,WR,Knee - ACL,IR,Subscribers Only
Brandon Johnson,FA,WR,Ankle,Questionable,Subscribers Only
Collin Johnson,NYG,WR,Achilles,IR,Subscribers Only
Darryl Johnson,SEA,LB,Ankle,IR,Subscribers Only
Dontae Johnson,FA,CB,Ribs,Questionable,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jermaine Johnson,NYJ,DE,Ankle,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Patrick Johnson,PHI,LB,Concussion,Questionable,Subscribers Only
Willie Johnson,JAX,WR,Undisclosed,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,MIA,CB,Ankle,PUP-R,Subscribers Only
Caleb Jones,GB,OT,Illness,NFI-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Deion Jones,CLE,LB,Shoulder,IR,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Jamarco Jones,TEN,OT,Elbow,IR,Subscribers Only
Joe Jones,TEN,LB,Knee,Questionable,Subscribers Only
Jonathan Jones,NE,CB,Ankle,Questionable,Subscribers Only
Julio Jones,TB,WR,Knee,Questionable,Subscribers Only
Mac Jones,NE,QB,Ankle,Questionable,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Brevin Jordan,HOU,TE,Ankle,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,PIT,S,Ankle,IR,Subscribers Only
Michael Joseph,FA,CB,Undisclosed,Questionable,Subscribers Only
Matt Kaskey,FA,OT,Foot,Questionable,Subscribers Only
Damontae Kazee,PIT,S,Arm,IR,Subscribers Only
Jason Kelce,PHI,C,Ankle,Questionable,Subscribers Only
Ryan Kelly,IND,C,Hip,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Javon Kinlaw,SF,DT,Knee,Questionable,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,LV,LB,Leg,IR,Subscribers Only
Dawson Knox,BUF,TE,Foot,Questionable,Subscribers Only
Charlie Kolar,BAL,TE,Sports Hernia,IR,Subscribers Only
J.J. Koski,LAR,WR,Shoulder,IR,Subscribers Only
Tommy Kraemer,DET,OG,Back,IR,Subscribers Only
Doug Kramer,CHI,C,Lower Leg,IR,Subscribers Only
Tyler Kroft,SF,TE,Knee - MCL,Out,Subscribers Only
Jake Kumerow,BUF,WR,Ankle,Questionable,Subscribers Only
Bruno Labelle,FA,TE,Undisclosed,Questionable,Subscribers Only
Dayan Lake,FA,CB,Undisclosed,Questionable,Subscribers Only
Quentin Lake,LAR,S,Knee,PUP-R,Subscribers Only
Chris Lammons,KC,CB,Hip,Questionable,Subscribers Only
Forrest Lamp,NO,OG,Undisclosed,IR,Subscribers Only
Tyler Lancaster,FA,DE,Undisclosed,Questionable,Subscribers Only
Trey Lance,SF,QB,Ankle,IR,Subscribers Only
Harold Landry,TEN,LB,Knee - ACL,IR,Subscribers Only
Jarvis Landry,NO,WR,Ankle,Questionable,Subscribers Only
Ted Larsen,FA,OG,Knee,Questionable,Subscribers Only
Cody Latimer,FA,WR,Personal,Reserve-CEL,Subscribers Only
Marshon Lattimore,NO,CB,Abdomen,Questionable,Subscribers Only
Nolan Laufenberg,FA,OG,Undisclosed,Out,Subscribers Only
Rashard Lawrence,ARI,DT,Hand,Questionable,Subscribers Only
Alex Leatherwood,CHI,OG,Illness,NFI-R,Subscribers Only
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable,Subscribers Only
Darron Lee,FA,LB,Undisclosed,Questionable,Subscribers Only
Shane Lemieux,NYG,OG,Foot,IR,Subscribers Only
Lance Lenoir,FA,WR,Undisclosed,Questionable,Subscribers Only
Shaquille Leonard,IND,LB,Concussion,Questionable,Subscribers Only
Taylor Lewan,TEN,OT,Knee,IR,Subscribers Only
Donnie Lewis,FA,CB,Undisclosed,Questionable,Subscribers Only
Tommylee Lewis,FA,WR,Hip,Questionable,Subscribers Only
Tyquan Lewis,IND,DE,Concussion,Questionable,Subscribers Only
Zane Lewis,FA,S,Undisclosed,Questionable,Subscribers Only
Damon Lloyd,LAC,LB,Undisclosed,IR,Subscribers Only
P.J. Locke,DEN,S,Concussion,Questionable,Subscribers Only
Drake London,ATL,WR,Knee,Questionable,Subscribers Only
David Long,LAR,CB,Groin,Questionable,Subscribers Only
Greg Long,FA,OT,Undisclosed,Questionable,Subscribers Only
Bryce Love,FA,RB,Knee,Questionable,Subscribers Only
John Lovett,MIA,FB,Undisclosed,IR,Subscribers Only
Jordan Lucas,FA,S,Knee,Questionable,Subscribers Only
Frankie Luvu,CAR,LB,Shoulder,Questionable,Subscribers Only
Alize Mack,FA,TE,Undisclosed,Questionable,Subscribers Only
Austin Mack,FA,WR,Hamstring,Questionable,Subscribers Only
Ledarius Mack,FA,LB,Undisclosed,Questionable,Subscribers Only
Avonte Maddox,PHI,CB,Ankle,Questionable,Subscribers Only
Cole Madison,FA,OG,Knee - ACL,Questionable,Subscribers Only
Jordan Mailata,PHI,OT,Shoulder,Questionable,Subscribers Only
Kyle Markway,FA,TE,Undisclosed,Questionable,Subscribers Only
Cassius Marsh,FA,LB,Knee,Questionable,Subscribers Only
Justin Martin,FA,CB,Knee,Questionable,Subscribers Only
Kamal Martin,FA,LB,Undisclosed,Questionable,Subscribers Only
Marcus Martin,FA,C,Undisclosed,Questionable,Subscribers Only
Bobby Massie,FA,OT,Concussion,Questionable,Subscribers Only
Phidarian Mathis,WAS,DT,Knee - Meniscus,IR,Subscribers Only
Jordan Matthews,SF,TE,Knee - ACL,IR,Subscribers Only
Marcus Maye,NO,S,Ribs,Questionable,Subscribers Only
Baker Mayfield,CAR,QB,Ankle,Doubtful,Subscribers Only
Jalen Mayfield,ATL,OG,Back,IR,Subscribers Only
David Mayo,WAS,LB,Hamstring,Questionable,Subscribers Only
Cole Mazza,FA,C,Shoulder,Questionable,Subscribers Only
Tyreik McAllister,FA,RB,Hamstring,Questionable,Subscribers Only
Tucker McCann,FA,K,Undisclosed,Questionable,Subscribers Only
Sincere McCormick,LV,RB,Undisclosed,IR,Subscribers Only
Colt McCoy,ARI,QB,Calf,IR-R,Subscribers Only
Gerald McCoy,FA,DT,Knee,Questionable,Subscribers Only
Trent McDuffie,KC,CB,Hamstring,IR,Subscribers Only
Codey McElroy,FA,TE,Foot,Questionable,Subscribers Only
Isaiah McKenzie,BUF,WR,Concussion,Questionable,Subscribers Only
